code,number,name,frequency,coverage
1,17,wood,9905,750.404734027
2,20,painted,9124,1087.51175175
3,24,fabric,7056,608.863733238
4,30,glass,5500,180.589199204
5,34,metal,4843,270.464824368
6,49,tile,3409,319.642030294
7,41,carpet,2599,228.313949296
8,69,plastic-opaque,1919,46.6925118823
9,80,granite,1638,106.189538769
10,84,ceramic,1500,54.8908241511
11,71,paper,1171,21.1122505092
12,94,food,849,62.150512434
13,129,leather,742,37.5985600565
14,187,plastic-clear,452,13.0258553988
15,193,laminate,442,18.5449884701
16,48,mirror,387,18.9938154862
17,202,brick,383,33.5775391469
18,215,wallpaper,357,38.7055238095
19,51,hair,342,13.720309761
20,230,skin,337,14.3590084083
21,238,cardboard,312,9.19022775361
22,245,wicker,300,7.22544448605
23,244,concrete,294,30.2910069226
24,85,rock,241,25.8471842866
25,395,fur,118,8.07778055689
26,405,rubber,111,2.26850137026
27,437,foliage,90,2.44220694628
28,572,linoleum,42,5.16353933813
29,13,sky,17,2.28939729641
30,75,water,17,0.522639160568
31,485,blackboard,8,0.477992939245
32,891,fire,6,0.102493055358
