code,number,name,frequency,coverage
1,12,wall,15553,3945.14338084
2,13,sky,12271,2944.38023646
3,14,floor,12133,1653.08197034
4,16,tree,10551,1706.83981414
5,18,building,9722,2845.74889456
6,19,person,9520,1169.76052271
7,25,ceiling,7812,974.240625158
8,27,table,6246,386.748259978
9,15,windowpane,5904,494.282916549
10,31,road,5500,1042.16066597
11,33,grass,5390,1039.16734516
12,36,chair,4935,373.546987401
13,38,car,4743,431.686181156
14,35,plant,4546,261.858410814
15,40,painting,4285,178.186761919
16,23,door,3778,246.059302363
17,43,sidewalk,3754,324.949218382
18,46,light,3687,28.1446799863
19,45,cabinet,3677,429.004371499
20,47,signboard,3540,53.1156567638
21,50,lamp,3386,48.0362739896
22,52,ground,2987,626.721631273
23,54,curtain,2747,251.047719585
24,55,pole,2651,35.1083322803
25,56,mountain,2579,440.339062615
26,57,fence,2544,178.994958307
27,60,streetlight,2227,12.8302321777
28,61,bed,2133,471.717648214
29,63,sofa,2128,328.416826908
30,65,box,2034,72.649072265
31,68,earth,1997,340.336238003
32,70,bottle,1900,75.6948761483
33,75,water,1676,452.88334361
34,77,cushion,1675,51.7267914069
35,78,book,1641,49.5266154829
36,79,flower,1636,47.6373853198
37,72,shelf,1538,152.023114285
38,41,carpet,1467,127.497966353
39,48,mirror,1433,102.392172583
40,88,vase,1403,6.87925317872
41,90,flowerpot,1332,8.89697495871
42,91,sink,1327,39.6325741962
43,93,dog,1309,305.735526612
44,95,armchair,1270,84.6931320671
45,85,rock,1250,129.928775543
46,97,wall socket,1236,1.51634635897
47,100,sconce,1128,6.73342210947
48,101,pillow,1094,35.3454906705
49,105,cat,1023,335.397930109
50,104,stairs,983,33.8634443083
51,89,pot,962,13.9984372131
52,107,plate,957,22.2465217645
53,76,railing,934,55.5130655522
54,24,fabric,932,80.1109821162
55,111,clock,929,4.8295160566
56,112,bag,921,19.3989921275
57,113,pillar,887,48.9125499805
58,115,bicycle,886,92.8434028545
59,118,coffee table,867,25.9164531565
60,119,ashcan,862,8.44666447701
61,121,bench,843,39.2149215702
62,122,spotlight,822,4.3830945418
63,123,boat,797,100.196552786
64,124,basket,786,15.5541148093
65,125,work surface,764,39.6152847446
66,127,desk,759,74.2246886789
67,109,bowl,745,6.78557502645
68,128,bird,743,83.1151241845
69,131,house,736,148.045081392
70,132,plaything,734,31.0044975686
71,135,sea,707,183.592779
72,71,paper,691,16.819365824
73,138,television,671,14.0704009252
74,141,chandelier,642,14.6448029842
75,145,pottedplant,625,74.3215213447
76,146,path,625,41.1080963864
77,148,cup,619,11.318867035
78,147,stairway,616,39.5907481863
79,144,switch,616,0.635728242776
80,149,van,612,12.1610102556
81,116,stove,609,25.5718153647
82,153,truck,605,25.4733207629
83,154,airplane,597,103.947443921
84,155,awning,597,17.4775173595
85,152,chest of drawers,595,38.290541947
86,156,traffic light,593,5.38058416001
87,86,seat,590,107.815242461
88,160,poster,583,25.2705676604
89,161,flag,577,6.99271171956
90,163,drinking glass,561,4.70603464975
91,164,telephone,557,3.34863661545
92,165,towel,544,16.4053811638
93,167,rope,540,7.78217533532
94,168,tvmonitor,536,82.1328088079
95,169,bush,535,62.8342197573
96,170,bucket,531,10.0760203837
97,172,field,524,151.870080349
98,173,stool,523,11.2977114622
99,174,tray,518,8.35916746813
100,157,bannister,509,15.623279591
101,176,fireplace,508,31.627066306
102,178,trade name,501,9.06985399942
103,17,wood,487,40.0981936641
104,182,fan,481,6.02954793241
105,183,horse,480,99.115057762
106,184,motorbike,471,116.032021583
107,185,train,465,132.375781432
108,175,pedestal,448,56.0972357083
109,188,shelves,448,34.2490954201
110,189,bathtub,446,47.3571448365
111,190,toilet,446,25.1848663194
112,191,refrigerator,445,34.0908706229
113,195,counter,434,48.4958401205
114,197,wardrobe,426,67.750146469
115,94,food,425,27.1374310125
116,198,candlestick,422,1.94535826434
117,199,computer,412,30.1952562478
118,136,double door,409,33.0425774668
119,200,palm,405,25.5898176798
120,203,bus,399,131.1436552
121,204,board,399,23.5426219072
122,205,blind,395,21.4850068712
123,207,microwave,387,9.01556439905
124,208,sand,386,74.17943156
125,209,track,381,39.4445015333
126,210,fluorescent,380,4.7553426007
127,212,sculpture,378,13.5215631001
128,214,countertop,361,21.3656162424
129,216,swivel chair,357,25.0056913893
130,224,snow,351,79.7823310931
131,225,river,346,60.4087248059
132,226,air conditioner,346,2.41285046394
133,228,ottoman,338,11.8255234459
134,229,jar,338,4.12929410723
135,211,step,333,17.2276235119
136,232,pack,328,10.1113970537
137,236,bridge,321,34.9661334839
138,239,minibike,312,6.90573951854
139,218,loudspeaker,311,6.68363945326
140,240,figurine,311,2.09523052438
141,241,skyscraper,310,102.142014403
142,242,can,309,3.9080378874
143,243,sheep,303,65.3633389984
144,247,bookcase,297,42.2047017404
145,248,bedclothes,296,79.9540909043
146,249,exhaust hood,295,6.38757227169
147,250,hill,293,35.0024666156
148,251,cow,290,62.7766204695
149,252,napkin,289,4.53359189618
150,254,doorframe,285,9.27017150371
151,255,manhole,281,4.00199774402
152,257,umbrella,278,5.87383914942
153,258,case,274,49.2323884663
154,259,autobus,273,15.6473832954
155,260,dishwasher,268,7.80891474
156,262,container,263,5.833406697
157,267,text,252,5.64552305033
158,268,knife,252,1.00348978105
159,270,crt screen,246,6.94092608279
160,221,pipe,242,6.01494158748
161,272,magazine,242,3.1842446531
162,271,curb,241,3.92482146402
163,179,oven,239,9.26523361198
164,273,monitoring device,239,7.73066384767
165,277,radiator,233,5.84399967419
166,278,platform,232,32.6569637177
167,279,blanket,231,6.65241158115
168,280,central reservation,230,8.9491534938
169,282,bulletin board,229,7.04861830633
170,283,laptop,225,10.4947326103
171,275,gate,224,4.61209728233
172,284,shoe,222,5.42219326386
173,285,pool table,217,35.2897227126
174,34,metal,216,9.24735189903
175,286,fruit,214,4.27478716187
176,180,keyboard,212,7.39680525836
177,287,coffee maker,211,1.6419381312
178,96,faucet,209,0.634309802246
179,288,candle,203,1.14202395841
180,291,handbag,199,2.15300621246
181,292,wineglass,197,5.82222577848
182,293,mug,197,1.33214726678
183,294,apparel,195,17.5676163593
184,296,land,194,20.8587199716
185,297,pitcher,194,1.05611467603
186,298,remote control,194,0.821607079259
187,299,bar,190,27.2753077335
188,300,ball,186,9.93760413076
189,281,grill,186,5.52505262503
190,303,grandstand,172,41.7401988912
191,304,backpack,171,2.26501028491
192,305,pane of glass,170,9.37422834235
193,309,hedge,166,14.2867558986
194,274,beam,166,9.14551140259
195,311,fork,166,0.762758630359
196,313,notebook,164,1.89458981431
197,314,toilet tissue,164,0.704066601808
198,317,screen door,157,25.3761569432
199,318,brush,156,12.6412699308
200,319,heater,156,2.80433500244
201,320,booklet,156,1.27922600245
202,321,kitchen island,153,18.8037098562
203,312,tower,150,16.1411117715
204,327,plane,147,12.2657746706
205,307,ladder,146,3.43381492369
206,336,soap dispenser,142,0.511169061873
207,332,shower,140,6.81715712018
208,322,post,139,1.32540609001
209,340,spoon,138,0.584265422179
210,344,buffet,136,12.0386592233
211,345,kettle,136,0.999714410309
212,349,traveling bag,134,3.87772828678
213,350,stage,133,22.6255911165
214,351,hat,133,3.63341318219
215,352,printer,133,2.97324519133
216,358,teapot,129,0.65671992006
217,361,chest,128,4.90975790075
218,365,embankment,127,20.7875798832
219,379,document,124,1.94729463828
220,381,rack,123,4.38517002519
221,246,mouse,122,0.536201223527
222,388,silver screen,121,9.75564372717
223,392,animal,120,8.83335024246
224,393,pier,120,8.07840142015
225,394,crane,120,2.15004093088
226,400,postbox,116,0.937219268466
227,315,vent,114,0.489737611657
228,403,wire,113,1.32935555035
229,404,console table,111,2.93535239117
230,408,camera,109,1.19758030577
231,399,statue,107,1.67332988423
232,411,jacket,106,4.4376220966
233,412,dishrag,106,0.867526341982
234,409,microphone,106,0.656161127494
235,415,fountain,105,11.7833650712
236,417,paper towel,104,0.517981381758
237,418,washer,103,17.0854383714
238,419,partition,102,13.0949980423
239,421,banner,101,1.39167405401
240,422,runway,100,27.322507286
241,425,tent,98,17.846607024
242,427,towel rack,98,0.603205493854
243,433,guitar,93,3.94859759417
244,434,system,93,0.9332848996
245,435,place mat,92,1.37642417443
246,438,bouquet,90,1.42209258649
247,432,waterfall,89,19.8803354358
248,441,booth,88,18.1921284665
249,442,dirt track,88,13.7929026222
250,443,vending machine,88,3.17336000308
251,74,drawer,87,2.16931920363
252,192,saddle,87,1.69257444565
253,445,deck chair,86,4.04947519575
254,446,canister,85,0.643179658684
255,449,helmet,84,1.6278102066
256,447,hovel,83,20.1096518993
257,263,shutter,82,3.56303548832
258,450,telephone booth,82,2.32150376092
259,452,shirt,81,5.24153096984
260,454,cradle,80,12.7022243731
261,455,candelabrum,80,0.860728542709
262,451,net,78,5.49362070999
263,458,easel,78,3.79087835613
264,448,skylight,78,2.7969171704
265,462,newspaper,76,2.67544581744
266,463,cross,76,0.550120193764
267,234,canopy,75,13.9440788007
268,464,smoke,75,7.72980512708
269,465,footbridge,75,7.60911233321
270,461,cart,75,3.59063108701
271,468,arcade machine,74,18.8283896001
272,469,machine,74,9.36026727493
273,470,baby buggy,73,2.2505334583
274,471,tank,72,9.85069271449
275,472,shower stall,71,1.37412662118
276,473,swimming pool,70,16.2233467754
277,474,sales booth,70,13.8594135751
278,475,scaffolding,70,5.47174624486
279,479,fridge,69,6.95351086464
280,480,patty,69,5.23464906839
281,481,altar,69,3.51663288718
282,44,wheel,69,3.20098079195
283,483,streetcar,68,2.46542466099
284,486,tapestry,67,3.98720883059
285,487,trouser,67,3.27566886478
286,488,billboard,67,1.30935348029
287,490,decoration,66,2.05075993647
288,150,cap,64,1.439401966
289,494,hot tub,63,10.4969936272
290,496,file cabinet,62,8.61815128976
291,498,piano,62,3.71269522002
292,500,conveyer belt,61,11.1551607841
293,501,arcade,61,9.86164427222
294,502,equipment,61,5.25079793716
295,497,drawing,61,3.80232706699
296,406,trunk,61,1.71656643629
297,503,saucepan,61,0.64058028346
298,485,blackboard,59,4.19027379105
299,506,court,58,19.8192649722
300,512,lake,57,14.5985671419
301,513,barrel,57,9.87849110183
302,514,ship,56,10.3650124516
303,516,cage,55,12.2100868049
304,517,railroad train,55,8.71843952864
305,519,lighthouse,55,3.68579991218
306,521,bus stop,55,3.32971285476
