code,number,name,frequency,coverage
1,21,head,8606,399.425893666
2,22,leg,8443,224.96312222
3,26,torso,7506,617.975998589
4,28,arm,6178,186.057705696
5,29,eye,5971,8.92968587047
6,15,windowpane,5610,220.009448679
7,32,ear,5414,63.1242747313
8,37,nose,4805,12.5279168992
9,39,neck,4619,65.6566009431
10,23,door,4557,219.202000069
11,42,hand,3832,32.2579613434
12,44,wheel,3681,119.206320458
13,53,mouth,2938,3.79715266924
14,51,hair,2813,80.0923694645
15,58,foot,2424,13.3767214213
16,62,eyebrow,2160,1.4777724033
17,64,handle,2078,3.05105246539
18,66,tail,2028,23.7443769983
19,67,muzzle,2003,53.8422717597
20,73,headlight,1757,8.41487780742
21,48,mirror,1643,4.42267946333
22,74,drawer,1628,41.6440838193
23,81,back,1619,48.1800768964
24,82,shade,1554,16.0556951392
25,87,paw,1450,21.5801606481
26,92,column,1311,15.7063323836
27,98,body,1195,104.292031025
28,99,knob,1130,1.00311184633
29,102,base,1072,4.4701574863
30,103,headboard,1056,37.9853101908
31,96,faucet,1047,3.10576405194
32,106,license plate,1020,0.894376487696
33,108,top,976,30.9476274773
34,110,screen,933,54.2175214761
35,86,seat,898,12.7986492336
36,114,seat cushion,886,27.5737600185
37,117,wing,870,26.0809121749
38,120,roof,815,33.5019351152
39,76,railing,748,15.4259355435
40,133,pane,727,38.9633875201
41,137,rim,695,2.41175897945
42,139,taillight,651,0.988278101765
43,140,back pillow,644,22.9518797593
44,143,windshield,629,5.46779572946
45,142,balcony,620,24.3083536865
46,151,door frame,607,18.0179843878
47,158,beak,589,2.53617504947
48,159,seat base,585,7.03125877181
49,162,inside arm,575,9.10746388716
50,150,cap,547,2.61677360643
51,171,stern,527,14.8978485865
52,166,frame,505,9.48580000039
53,177,outside arm,504,7.98020313847
54,181,footboard,481,29.7279283523
55,35,plant,452,42.3403872163
56,89,pot,438,20.097176232
57,194,apron,437,3.07963023071
58,196,handle bar,428,4.75745451865
59,201,shop window,403,18.9206512761
60,213,engine,373,7.21245040951
61,192,saddle,358,2.772415742
62,222,chain wheel,353,3.94060825817
