code,number,name,frequency,coverage
1,59,street-s,2241,2241.0
2,83,bedroom-s,1528,1528.0
3,126,living_room-s,767,767.0
4,130,bathroom-s,738,738.0
5,134,kitchen-s,718,718.0
6,186,dining_room-s,454,454.0
7,223,skyscraper-s,351,351.0
8,233,highway-s,325,325.0
9,269,building_facade-s,251,251.0
10,301,conference_room-s,184,184.0
11,302,hotel_room-s,176,176.0
12,333,mountain_snowy-s,143,143.0
13,380,office-s,123,123.0
14,383,corridor-s,122,122.0
15,396,airport_terminal-s,118,118.0
16,407,game_room-s,109,109.0
17,410,waiting_room-s,106,106.0
18,414,home_office-s,105,105.0
19,413,poolroom-home-s,105,105.0
20,424,art_studio-s,98,98.0
21,428,attic-s,97,97.0
22,429,forest-broadleaf-s,97,97.0
23,430,park-s,94,94.0
24,431,mountain-s,93,93.0
25,440,coast-s,88,88.0
26,444,alley-s,87,87.0
27,453,parlor-s,80,80.0
28,456,closet-s,79,79.0
29,457,beach-s,79,79.0
30,459,childs_room-s,77,77.0
31,460,art_gallery-s,76,76.0
32,467,apartment_building-outdoor-s,74,74.0
33,478,castle-s,69,69.0
34,477,staircase-s,69,69.0
35,482,pasture-s,68,68.0
36,484,dorm_room-s,67,67.0
37,489,nursery-s,66,66.0
38,492,garage-indoor-s,65,65.0
39,491,lobby-s,65,65.0
40,493,reception-s,63,63.0
41,499,bar-s,61,61.0
42,504,forest-needleleaf-s,59,59.0
43,511,warehouse-indoor-s,57,57.0
44,509,bakery-shop-s,57,57.0
45,510,roundabout-s,57,57.0
46,515,house-s,55,55.0
47,529,casino-indoor-s,52,52.0
48,534,classroom-s,51,51.0
49,532,field-cultivated-s,51,51.0
50,533,bridge-s,51,51.0
51,535,river-s,50,50.0
52,541,youth_hostel-s,49,49.0
53,543,field-wild-s,48,48.0
54,547,lighthouse-s,47,47.0
55,553,creek-s,46,46.0
56,554,museum-indoor-s,46,46.0
57,556,window_seat-s,46,46.0
58,555,shoe_shop-s,46,46.0
59,558,amusement_park-s,45,45.0
60,559,dinette-vehicle-s,45,45.0
61,562,lake-natural-s,44,44.0
62,563,dinette-home-s,44,44.0
63,565,cockpit-s,43,43.0
64,571,jacuzzi-indoor-s,42,42.0
65,574,playroom-s,41,41.0
66,580,valley-s,40,40.0
67,579,parking_lot-s,40,40.0
68,585,tower-s,39,39.0
69,583,auditorium-s,39,39.0
70,584,beauty_salon-s,39,39.0
71,589,wet_bar-s,38,38.0
72,590,artists_loft-s,38,38.0
73,592,balcony-interior-s,37,37.0
74,594,arrival_gate-outdoor-s,36,36.0
75,598,plaza-s,35,35.0
76,597,playground-s,35,35.0
77,602,hill-s,34,34.0
78,608,clothing_store-s,33,33.0
79,611,pantry-s,33,33.0
80,610,bow_window-indoor-s,33,33.0
81,609,utility_room-s,33,33.0
82,616,galley-s,32,32.0
83,619,basement-s,32,32.0
84,617,bookstore-s,32,32.0
85,618,abbey-s,32,32.0
86,625,golf_course-s,31,31.0
87,624,supermarket-s,31,31.0
88,630,hallway-s,30,30.0
89,638,market-outdoor-s,29,29.0
90,634,laundromat-s,29,29.0
91,636,greenhouse-indoor-s,29,29.0
92,639,subway_interior-s,29,29.0
93,637,gazebo-exterior-s,29,29.0
94,635,ballroom-s,29,29.0
