code,number,name,frequency,coverage
1,237,blotchy,316,316.0
2,276,dotted,234,234.0
3,290,banded,205,205.0
4,295,striped,194,194.0
5,308,bumpy,166,166.0
6,324,smeared,149,149.0
7,325,knitted,148,148.0
8,326,porous,148,148.0
9,329,pitted,146,146.0
10,328,fibrous,146,146.0
11,331,veined,144,144.0
12,334,perforated,143,143.0
13,335,woven,142,142.0
14,337,meshed,140,140.0
15,338,crosshatched,139,139.0
16,341,sprinkled,137,137.0
17,342,polka-dotted,136,136.0
18,346,marbled,135,135.0
19,347,stained,135,135.0
20,343,grid,134,134.0
21,353,gauzy,130,130.0
22,354,interlaced,130,130.0
23,357,frilly,129,129.0
24,356,zigzagged,129,129.0
25,359,spiralled,128,128.0
26,360,swirly,128,128.0
27,363,cracked,127,127.0
28,364,studded,127,127.0
29,362,matted,127,127.0
30,368,flecked,126,126.0
31,369,potholed,126,126.0
32,373,scaly,125,125.0
33,370,stratified,125,125.0
34,371,braided,125,125.0
35,372,lined,125,125.0
36,375,wrinkled,124,124.0
37,374,paisley,124,124.0
38,376,waffled,124,124.0
39,377,freckled,124,124.0
40,378,honeycombed,124,124.0
41,384,lacelike,122,122.0
42,382,chequered,122,122.0
43,385,crystalline,122,122.0
44,387,bubbly,121,121.0
45,391,grooved,120,120.0
46,389,pleated,120,120.0
47,390,cobwebbed,120,120.0
