number,name,category,frequency,coverage,syns
1,black-c,color(62358),62358,11135.320474,
2,grey-c,color(62310),62310,12712.843129,
3,white-c,color(62054),62054,5778.038204,
4,brown-c,color(61583),61583,14549.652454,
5,green-c,color(61508),61508,5049.989735,
6,pink-c,color(60755),60755,1478.518582,
7,purple-c,color(59516),59516,865.041519,
8,blue-c,color(57825),57825,4899.174121,
9,yellow-c,color(57560),57560,2730.587283,
10,red-c,color(55938),55938,1678.059729,
11,orange-c,color(50369),50369,2427.774769,
12,wall,object(15553);part(29),15582,3947.579313,
13,sky,object(12271);material(17),12288,2946.669634,
14,floor,object(12133);part(4),12137,1653.990309,flooring
15,windowpane,object(5904);part(5610),11514,714.292365,window
16,tree,object(10551);part(1),10552,1706.847783,
17,wood,material(9905);object(487),10392,790.502928,
18,building,object(9722),9722,2845.748895,edifice
19,person,object(9520),9520,1169.760523,soul;someone;somebody;individual;mortal
20,painted,material(9124),9124,1087.511752,
21,head,part(8606),8606,399.425894,
22,leg,part(8443);object(1),8444,224.991031,
23,door,part(4557);object(3778),8335,465.261302,
24,fabric,material(7056);object(932);part(2),7990,689.136189,textile;cloth
25,ceiling,object(7812);part(3),7815,974.896306,
26,torso,part(7506),7506,617.975999,
27,table,object(6246),6246,386.748260,
28,arm,part(6178),6178,186.057706,
29,eye,part(5971),5971,8.929686,
30,glass,material(5500);object(21),5521,181.691070,
31,road,object(5500);part(1),5501,1042.181608,route
32,ear,part(5414);object(5),5419,63.248332,
33,grass,object(5390),5390,1039.167345,
34,metal,material(4843);object(216),5059,279.712176,
35,plant,object(4546);part(452),4998,304.198798,flora;plant life
36,chair,object(4935);part(2),4937,373.611498,
37,nose,part(4805),4805,12.527917,
38,car,object(4743),4743,431.686181,motorcar;automobile;auto
39,neck,part(4619),4619,65.656601,
40,painting,object(4285),4285,178.186762,picture
41,carpet,material(2599);object(1467),4066,355.811916,carpeting;rug
42,hand,part(3832),3832,32.257961,
43,sidewalk,object(3754);part(2),3756,324.970439,
44,wheel,part(3681);object(69),3750,122.407301,
45,cabinet,object(3677);part(33),3710,430.606454,
46,light,object(3687);part(2),3689,28.145308,light source
47,signboard,object(3540);part(19),3559,53.370228,sign
48,mirror,part(1643);object(1433);material(387),3463,125.808668,
49,tile,material(3409);object(18),3427,320.008102,
50,lamp,object(3386);part(5),3391,48.047357,
51,hair,part(2813);material(342);object(1),3156,93.815605,
52,ground,object(2987);part(1),2988,626.722958,
53,mouth,part(2938),2938,3.797153,
54,curtain,object(2747);part(3),2750,251.355274,pall;drape;drapery
55,pole,object(2651);part(14),2665,35.301899,
56,mountain,object(2579),2579,440.339063,mount
57,fence,object(2544);part(7),2551,179.277044,fencing
58,foot,part(2424),2424,13.376721,
59,street-s,scene(2241),2241,2241.000000,
60,streetlight,object(2227),2227,12.830232,street lamp
61,bed,object(2133);part(92),2225,478.232423,
62,eyebrow,part(2160),2160,1.477772,
63,sofa,object(2128),2128,328.416827,lounge;couch
64,handle,part(2078);object(2),2080,3.134381,
65,box,object(2034);part(3),2037,72.660788,
66,tail,part(2028),2028,23.744377,
67,muzzle,part(2003),2003,53.842272,
68,earth,object(1997),1997,340.336238,
69,plastic-opaque,material(1919),1919,46.692512,
70,bottle,object(1900);part(1),1901,75.696144,
71,paper,material(1171);object(691);part(1),1863,37.945223,
72,shelf,object(1538);part(266),1804,155.466913,
73,headlight,part(1757),1757,8.414878,
74,drawer,part(1628);object(87),1715,43.813403,
75,water,object(1676);material(17);part(7),1700,453.965134,
76,railing,object(934);part(748),1682,70.939001,rail
77,cushion,object(1675);part(7),1682,51.799140,
78,book,object(1641),1641,49.526615,
79,flower,object(1636);part(3),1639,47.650854,
80,granite,material(1638),1638,106.189539,marble
81,back,part(1619),1619,48.180077,
82,shade,part(1554),1554,16.055695,
83,bedroom-s,scene(1528),1528,1528.000000,
84,ceramic,material(1500),1500,54.890824,
85,rock,object(1250);material(241);part(2),1493,155.865610,stone
86,seat,part(898);object(590),1488,120.613892,
87,paw,part(1450),1450,21.580161,
88,vase,object(1403);part(1),1404,6.879985,
89,pot,object(962);part(438),1400,34.095613,
90,flowerpot,object(1332),1332,8.896975,
91,sink,object(1327),1327,39.632574,
92,column,part(1311),1311,15.706332,
93,dog,object(1309),1309,305.735527,canis familiaris;domestic dog
94,food,material(849);object(425),1274,89.287943,solid food
95,armchair,object(1270),1270,84.693132,
96,faucet,part(1047);object(209),1256,3.740074,spigot
97,wall socket,object(1236);part(2),1238,1.518825,wall plug;outlet;electric receptacle;electric outlet;electrical outlet
98,body,part(1195);object(1),1196,104.292191,
99,knob,part(1130);object(3),1133,1.007464,
100,sconce,object(1128);part(1),1129,6.738905,
101,pillow,object(1094),1094,35.345491,
102,base,part(1072);object(18),1090,5.917770,
103,headboard,part(1056);object(6),1062,40.546068,
104,stairs,object(983);part(53),1036,34.423938,steps
105,cat,object(1023),1023,335.397930,
106,license plate,part(1020),1020,0.894376,
107,plate,object(957);part(24),981,22.279863,
108,top,part(976);object(2),978,30.961475,
109,bowl,object(745);part(208),953,10.874015,
110,screen,part(933);object(4),937,54.766765,
111,clock,object(929);part(3),932,4.853499,
112,bag,object(921);part(1),922,19.404826,
113,pillar,object(887);part(1),888,48.914224,
114,seat cushion,part(886);object(1),887,27.623586,
115,bicycle,object(886),886,92.843403,bike;cycle
116,stove,object(609);part(270),879,29.130981,kitchen range;range;kitchen stove;cooking stove
117,wing,part(870),870,26.080912,
118,coffee table,object(867),867,25.916453,cocktail table
119,ashcan,object(862),862,8.446664,trash can;ash-bin;garbage can;trash barrel;dustbin;ashbin;ash bin;wastebin;trash bin
120,roof,part(815);object(34),849,35.898958,
121,bench,object(843);part(1),844,39.267716,
122,spotlight,object(822),822,4.383095,spot
123,boat,object(797),797,100.196553,
124,basket,object(786);part(2),788,15.569162,handbasket
125,work surface,object(764);part(15),779,40.003150,
126,living_room-s,scene(767),767,767.000000,
127,desk,object(759),759,74.224689,
128,bird,object(743),743,83.115124,
129,leather,material(742);object(1),743,38.014249,
130,bathroom-s,scene(738),738,738.000000,
131,house,object(736),736,148.045081,
132,plaything,object(734);part(1),735,31.032804,toy
133,pane,part(727),727,38.963388,
134,kitchen-s,scene(718),718,718.000000,
135,sea,object(707),707,183.592779,
136,double door,object(409);part(290),699,40.436152,
137,rim,part(695);object(2),697,2.421746,
138,television,object(671),671,14.070401,telly;television set;tv set;television receiver;tv;idiot box;boob tube;goggle box
139,taillight,part(651),651,0.988278,
140,back pillow,part(644),644,22.951880,
141,chandelier,object(642),642,14.644803,pendant;pendent
142,balcony,part(620);object(21),641,25.680447,
143,windshield,part(629),629,5.467796,
144,switch,object(616);part(13),629,0.641753,electric switch;electrical switch
145,pottedplant,object(625),625,74.321521,
146,path,object(625),625,41.108096,
147,stairway,object(616);part(9),625,40.019290,staircase
148,cup,object(619),619,11.318867,
149,van,object(612),612,12.161010,
150,cap,part(547);object(64),611,4.056176,
151,door frame,part(607),607,18.017984,
152,chest of drawers,object(595);part(10),605,39.149105,bureau;dresser
153,truck,object(605),605,25.473321,motortruck
154,airplane,object(597),597,103.947444,aeroplane
155,awning,object(597),597,17.477517,sunshade;sunblind
156,traffic light,object(593),593,5.380584,traffic signal;stoplight
157,bannister,object(509);part(81),590,19.626638,handrail;banister;balusters;balustrade
158,beak,part(589),589,2.536175,
159,seat base,part(585);object(1),586,7.038019,
160,poster,object(583),583,25.270568,posting;notice;placard
161,flag,object(577),577,6.992712,
162,inside arm,part(575),575,9.107464,
163,drinking glass,object(561),561,4.706035,
164,telephone,object(557);part(1),558,3.358899,phone;telephone set
165,towel,object(544),544,16.405381,
166,frame,part(505);object(36),541,10.900613,
167,rope,object(540);part(1),541,7.783654,
168,tvmonitor,object(536),536,82.132809,
169,bush,object(535);part(1),536,62.859434,shrub
170,bucket,object(531);part(1),532,10.079928,pail
171,stern,part(527),527,14.897849,
172,field,object(524),524,151.870080,
173,stool,object(523),523,11.297711,
174,tray,object(518);part(1),519,8.386866,
175,pedestal,object(448);part(70),518,57.161467,stand
176,fireplace,object(508),508,31.627066,hearth;open fireplace
177,outside arm,part(504),504,7.980203,
178,trade name,object(501),501,9.069854,marque;brand name;brand
179,oven,part(258);object(239),497,16.998178,
180,keyboard,part(274);object(212),486,10.188108,
181,footboard,part(481),481,29.727928,
182,fan,object(481),481,6.029548,
183,horse,object(480),480,99.115058,equus caballus
184,motorbike,object(471),471,116.032022,
185,train,object(465),465,132.375781,
186,dining_room-s,scene(454),454,454.000000,
187,plastic-clear,material(452),452,13.025855,
188,shelves,object(448);part(2),450,34.268171,
189,bathtub,object(446),446,47.357145,bath;tub;bathing tub
190,toilet,object(446),446,25.184866,potty;commode;crapper
191,refrigerator,object(445),445,34.090871,icebox
192,saddle,part(358);object(87),445,4.464990,
193,laminate,material(442),442,18.544988,
194,apron,part(437);object(4),441,3.158427,
195,counter,object(434),434,48.495840,
196,handle bar,part(428),428,4.757455,
197,wardrobe,object(426),426,67.750146,closet
198,candlestick,object(422),422,1.945358,candle holder
199,computer,object(412),412,30.195256,information processing system;data processor;electronic computer;computing device;computing machine
200,palm,object(405),405,25.589818,palm tree
201,shop window,part(403),403,18.920651,
202,brick,material(383);object(18),401,34.082371,
203,bus,object(399),399,131.143655,
204,board,object(399),399,23.542622,plank
205,blind,object(395);part(3),398,21.559807,
206,chimney,part(343);object(48),391,6.091165,
207,microwave,object(387);part(1),388,9.033952,microwave oven
208,sand,object(386);part(1),387,74.288857,
209,track,object(381),381,39.444502,
210,fluorescent,object(380);part(1),381,4.755913,fluorescent fixture
211,step,object(333);part(47),380,20.137418,stair
212,sculpture,object(378);part(1),379,13.541411,
213,engine,part(373);object(6),379,7.784332,
214,countertop,object(361);part(1),362,21.418662,
215,wallpaper,material(357),357,38.705524,
216,swivel chair,object(357),357,25.005691,
217,lid,part(351);object(6),357,7.332026,
218,loudspeaker,object(311);part(46),357,7.074060,speaker unit;loudspeaker system;speaker system;speaker
219,side,part(352);object(3),355,8.707111,
220,skirt,part(332);object(23),355,5.764950,
221,pipe,object(242);part(112),354,7.420689,pipage;piping
222,chain wheel,part(353),353,3.940608,
223,skyscraper-s,scene(351),351,351.000000,
224,snow,object(351),351,79.782331,
225,river,object(346),346,60.408725,
226,air conditioner,object(346),346,2.412850,air conditioning
227,bumper,part(340);object(1),341,2.545768,
228,ottoman,object(338),338,11.825523,hassock;pouf;pouffe;puff
229,jar,object(338),338,4.129294,
230,skin,material(337),337,14.359008,
231,coach,part(334),334,55.751616,
232,pack,object(328),328,10.111397,
233,highway-s,scene(325),325,325.000000,
234,canopy,part(250);object(75),325,14.192919,
235,stile,part(323),323,2.971185,
236,bridge,object(321),321,34.966133,span
237,blotchy,texture(316),316,316.000000,
238,cardboard,material(312);object(3),315,9.288731,
239,minibike,object(312),312,6.905740,
240,figurine,object(311),311,2.095231,statuette
241,skyscraper,object(310),310,102.142014,
242,can,object(309);part(1),310,3.909935,tin can;tin
243,sheep,object(303),303,65.363339,
244,concrete,material(294);object(9),303,30.902536,
245,wicker,material(300),300,7.225444,
246,mouse,part(176);object(122),298,0.753511,
247,bookcase,object(297),297,42.204702,
248,bedclothes,object(296),296,79.954091,
