duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,m_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0.0,0.0,1.0,1.0,0.25,0.5,0.0,178,2,0.01,0.04,0.04,0.0,0.01,0.0,0.32,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0.0,0.0,1.0,1.0,0.11,0.5,0.0,188,2,0.01,0.06,0.1,0.0,0.01,0.0,0.36,1.0,b'portsweep.'
0,b'tcp',b'private',b'REJ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0.0,0.0,1.0,1.0,0.04,0.54,0.0,198,1,0.01,0.09,0.14,0.0,0.01,0.0,0.39,1.0,b'portsweep.'
0,b'tcp',b'private',b'REJ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0.0,0.0,1.0,1.0,0.03,0.55,0.0,208,1,0.0,0.11,0.18,0.0,0.01,0.0,0.42,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0.0,0.0,1.0,1.0,0.04,0.54,0.0,218,2,0.01,0.12,0.22,0.0,0.01,0.0,0.44,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0.0,0.0,1.0,1.0,0.03,0.53,0.0,228,2,0.01,0.14,0.25,0.0,0.01,0.0,0.47,1.0,b'portsweep.'
0,b'tcp',b'private',b'REJ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0.0,0.0,1.0,1.0,0.01,0.54,0.0,238,1,0.0,0.16,0.29,0.0,0.01,0.0,0.49,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2,0.0,0.0,1.0,1.0,0.03,0.54,0.0,248,2,0.01,0.17,0.31,0.0,0.01,0.0,0.51,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,0.0,0.0,1.0,1.0,0.02,0.53,0.0,255,2,0.01,0.19,0.35,0.0,0.0,0.0,0.53,1.0,b'portsweep.'
1,b'tcp',b'private',b'RSTR',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0.0,0.0,1.0,1.0,0.02,0.55,0.0,255,2,0.01,0.22,0.38,0.0,0.0,0.0,0.53,1.0,b'portsweep.'
0,b'tcp',b'private',b'REJ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0.0,0.0,1.0,1.0,0.01,0.56,0.0,255,1,0.0,0.24,0.42,0.0,0.0,0.0,0.53,1.0,b'portsweep.'
