,synid,class_name
0,n00004475,organism
1,n00005787,benthos
2,n00006024,heterotroph
3,n00006484,cell
4,n00007846,person
5,n00015388,animal
6,n00017222,plant
7,n00021265,food
8,n00021939,artifact
9,n00120010,hop
10,n00141669,check-in
11,n00288000,dressage
12,n00288190,curvet
13,n00288384,piaffe
14,n00324978,funambulism
15,n00326094,rock climbing
16,n00433458,contact sport
17,n00433661,outdoor sport
18,n00433802,gymnastics
19,n00434075,acrobatics
20,n00439826,track and field
21,n00440039,track
22,n00440218,jumping
23,n00440382,broad jump
24,n00440509,high jump
25,n00440643,Fosbury flop
26,n00440747,skiing
27,n00440941,cross-country skiing
28,n00441073,ski jumping
29,n00441824,water sport
30,n00442115,swimming
31,n00442437,bathe
32,n00442847,dip
33,n00442981,dive
34,n00443231,floating
35,n00443375,dead-man's float
36,n00443517,belly flop
37,n00443692,cliff diving
38,n00443803,flip
39,n00443917,gainer
40,n00444142,half gainer
41,n00444340,jackknife
42,n00444490,swan dive
43,n00444651,skin diving
44,n00444846,scuba diving
45,n00444937,snorkeling
46,n00445055,surfing
47,n00445226,water-skiing
48,n00445351,rowing
49,n00445685,sculling
50,n00445802,boxing
51,n00446311,professional boxing
52,n00446411,in-fighting
53,n00446493,fight
54,n00446632,rope-a-dope
55,n00446804,spar
56,n00446980,archery
57,n00447073,sledding
58,n00447221,tobogganing
59,n00447361,luging
60,n00447463,bobsledding
61,n00447540,wrestling
62,n00447957,Greco-Roman wrestling
63,n00448126,professional wrestling
64,n00448232,sumo
65,n00448466,skating
66,n00448640,ice skating
67,n00448748,figure skating
68,n00448872,rollerblading
69,n00448958,roller skating
70,n00449054,skateboarding
71,n00449168,speed skating
72,n00449295,racing
73,n00449517,auto racing
74,n00449695,boat racing
75,n00449796,hydroplane racing
76,n00449892,camel racing
77,n00449977,greyhound racing
78,n00450070,horse racing
79,n00450335,riding
80,n00450700,equestrian sport
81,n00450866,pony-trekking
82,n00450998,showjumping
83,n00451186,cross-country riding
84,n00451370,cycling
85,n00451563,bicycling
86,n00451635,motorcycling
87,n00451768,dune cycling
88,n00451866,blood sport
89,n00452034,bullfighting
90,n00452152,cockfighting
91,n00452293,hunt
92,n00452734,battue
93,n00452864,beagling
94,n00453126,coursing
95,n00453313,deer hunting
96,n00453396,ducking
97,n00453478,fox hunting
98,n00453631,pigsticking
99,n00453935,fishing
100,n00454237,angling
101,n00454395,fly-fishing
102,n00454493,troll
103,n00454624,casting
104,n00454855,bait casting
105,n00454983,fly casting
106,n00455076,overcast
107,n00455173,surf casting
108,n00456465,day game
109,n00463246,athletic game
110,n00463543,ice hockey
111,n00464277,tetherball
112,n00464478,water polo
113,n00464651,outdoor game
114,n00464894,golf
115,n00466273,professional golf
116,n00466377,round of golf
117,n00466524,medal play
118,n00466630,match play
119,n00466712,miniature golf
120,n00466880,croquet
121,n00467320,quoits
122,n00467536,shuffleboard
123,n00467719,field game
124,n00467995,field hockey
125,n00468299,shinny
126,n00468480,football
127,n00469651,American football
128,n00470554,professional football
129,n00470682,touch football
130,n00470830,hurling
131,n00470966,rugby
132,n00471437,ball game
133,n00471613,baseball
134,n00474568,ball
135,n00474657,professional baseball
136,n00474769,hardball
137,n00474881,perfect game
138,n00475014,no-hit game
139,n00475142,one-hitter
140,n00475273,two-hitter
141,n00475403,three-hitter
142,n00475535,four-hitter
143,n00475661,five-hitter
144,n00475787,softball
145,n00476140,rounders
146,n00476235,stickball
147,n00476389,cricket
148,n00477392,lacrosse
149,n00477639,polo
150,n00477827,pushball
151,n00478262,soccer
152,n00479076,court game
153,n00479440,handball
154,n00479616,racquetball
155,n00479734,fives
156,n00479887,squash
157,n00480211,volleyball
158,n00480366,jai alai
159,n00480508,badminton
160,n00480885,battledore
161,n00480993,basketball
162,n00481803,professional basketball
163,n00481938,deck tennis
164,n00482122,netball
165,n00482298,tennis
166,n00483205,professional tennis
167,n00483313,singles
168,n00483409,singles
169,n00483508,doubles
170,n00483605,doubles
171,n00483705,royal tennis
172,n00483848,pallone
173,n00523513,sport
174,n00812526,clasp
175,n00825773,judo
176,n00887544,team sport
177,n01035504,Last Supper
178,n01035667,Seder
179,n01055165,camping
180,n01314388,pest
181,n01314663,critter
182,n01314781,creepy-crawly
183,n01314910,darter
184,n01315213,peeper
185,n01315330,homeotherm
186,n01315581,poikilotherm
187,n01315805,range animal
188,n01316422,scavenger
189,n01316579,bottom-feeder
190,n01316734,bottom-feeder
191,n01316949,work animal
192,n01317089,beast of burden
193,n01317294,draft animal
194,n01317391,pack animal
195,n01317541,domestic animal
196,n01317813,feeder
197,n01317916,feeder
198,n01318053,stocker
199,n01318279,hatchling
200,n01318381,head
201,n01318478,migrator
202,n01318660,molter
203,n01318894,pet
204,n01319001,stayer
205,n01319187,stunt
206,n01319467,marine animal
207,n01319685,by-catch
208,n01320872,female
209,n01321123,hen
210,n01321230,male
211,n01321456,adult
212,n01321579,young
213,n01321770,orphan
214,n01321854,young mammal
215,n01322221,baby
216,n01322343,pup
217,n01322508,wolf pup
218,n01322604,puppy
219,n01322685,cub
220,n01322898,lion cub
221,n01322983,bear cub
222,n01323068,tiger cub
223,n01323155,kit
224,n01323261,suckling
225,n01323355,sire
226,n01323493,dam
227,n01323599,thoroughbred
228,n01323781,giant
229,n01324305,mutant
230,n01324431,carnivore
231,n01324610,herbivore
232,n01324799,insectivore
233,n01324916,acrodont
234,n01325060,pleurodont
235,n01326291,microorganism
236,n01327909,monohybrid
237,n01329186,arbovirus
238,n01330126,adenovirus
239,n01330497,arenavirus
240,n01332181,Marburg virus
241,n01333082,Arenaviridae
242,n01333483,vesiculovirus
243,n01333610,Reoviridae
244,n01334217,variola major
245,n01334690,viroid
246,n01335218,coliphage
247,n01337191,paramyxovirus
248,n01337734,poliovirus
249,n01338685,herpes
250,n01339083,herpes simplex 1
251,n01339336,herpes zoster
252,n01339471,herpes varicella zoster
253,n01339801,cytomegalovirus
254,n01340014,varicella zoster virus
255,n01340522,polyoma
256,n01340785,lyssavirus
257,n01340935,reovirus
258,n01341090,rotavirus
259,n01342269,moneran
260,n01347583,archaebacteria
261,n01349735,bacteroid
262,n01350226,Bacillus anthracis
263,n01350701,Yersinia pestis
264,n01351170,Brucella
265,n01351315,spirillum
266,n01357328,botulinus
267,n01357507,clostridium perfringens
268,n01358572,cyanobacteria
269,n01359762,trichodesmium
270,n01362336,nitric bacteria
271,n01363719,spirillum
272,n01365474,Francisella
273,n01365885,gonococcus
274,n01366700,Corynebacterium diphtheriae
275,n01367772,enteric bacteria
276,n01368672,klebsiella
277,n01369358,Salmonella typhimurium
278,n01369484,typhoid bacillus
279,n01374703,nitrate bacterium
280,n01374846,nitrite bacterium
281,n01375204,actinomycete
282,n01376237,streptomyces
283,n01376437,Streptomyces erythreus
284,n01376543,Streptomyces griseus
285,n01377278,tubercle bacillus
286,n01377510,pus-forming bacteria
287,n01377694,streptobacillus
288,n01378545,myxobacteria
289,n01379389,staphylococcus
290,n01380610,diplococcus
291,n01380754,pneumococcus
292,n01381044,streptococcus
293,n01382033,spirochete
294,n01384084,planktonic algae
295,n01384164,zooplankton
296,n01384687,parasite
297,n01385017,endoparasite
298,n01385330,ectoparasite
299,n01386007,pathogen
300,n01386182,commensal
301,n01386354,myrmecophile
302,n01387065,protoctist
303,n01389507,protozoan
304,n01390123,sarcodinian
305,n01390763,heliozoan
306,n01392275,endameba
307,n01392380,ameba
308,n01393486,globigerina
309,n01394040,testacean
310,n01394492,arcella
311,n01394771,difflugia
312,n01395254,ciliate
313,n01396048,paramecium
314,n01396617,stentor
315,n01397114,alga
316,n01397690,arame
317,n01397871,seagrass
318,n01400247,golden algae
319,n01400391,yellow-green algae
320,n01402600,brown algae
321,n01403457,kelp
322,n01404365,fucoid
323,n01404495,fucoid
324,n01405007,fucus
325,n01405616,bladderwrack
326,n01407798,green algae
327,n01410457,pond scum
328,n01411450,chlorella
329,n01412694,stonewort
330,n01413457,desmid
331,n01414216,sea moss
332,n01415626,eukaryote
333,n01415920,prokaryote
334,n01416213,zooid
335,n01418498,Leishmania
336,n01418620,zoomastigote
337,n01419332,polymastigote
338,n01419573,costia
339,n01419888,giardia
340,n01421333,cryptomonad
341,n01421807,sporozoan
342,n01422185,sporozoite
343,n01422335,trophozoite
344,n01422450,merozoite
345,n01423302,coccidium
346,n01423617,gregarine
347,n01424420,plasmodium
348,n01425223,leucocytozoan
349,n01427399,microsporidian
350,n01429172,Ostariophysi
351,n01438208,cypriniform fish
352,n01438581,loach
353,n01439121,cyprinid
354,n01439514,carp
355,n01439808,domestic carp
356,n01440160,leather carp
357,n01440242,mirror carp
358,n01440467,European bream
359,n01440764,tench
360,n01441117,dace
361,n01441272,chub
362,n01441425,shiner
363,n01441910,common shiner
364,n01442450,roach
365,n01442710,rudd
366,n01442972,minnow
367,n01443243,gudgeon
368,n01443537,goldfish
369,n01443831,crucian carp
370,n01444339,electric eel
371,n01444783,catostomid
372,n01445429,buffalo fish
373,n01445593,black buffalo
374,n01445857,hog sucker
375,n01446152,redhorse
376,n01446589,cyprinodont
377,n01446760,killifish
378,n01447139,mummichog
379,n01447331,striped killifish
380,n01447658,rivulus
381,n01447946,flagfish
382,n01448291,swordtail
